paraphraser,T0,T1,T2,T3
chatgpt,0.6041159701229988,0.6278506972696383,0.6178467125516375,0.6194184419473097
palm,0.6041159701229988,0.6337968998985948,0.6317034951172547,0.624208932436346
dipper_low,0.6041159701229988,0.6525803088183075,0.6489707245231673,0.6403791574050406
dipper_bare,0.6041159701229988,0.6372358168828258,0.6159440384531732,0.605869882643159
dipper_high,0.6041159701229988,0.510792227273274,0.49880645065936,0.5068256133086423
pegasus_slight,0.6041159701229988,0.6610071973685638,0.6581722117062836,0.6530039682472321
pegasus_full,0.6041159701229988,0.645080505115545,0.6340858155132374,0.6320627371925147
