paraphraser,RTTR (lexical),Dep-Depth (structural),SBERT cos (semantic)
chatgpt,0.9946650147508581,1.049644769588648,0.8677796
palm,0.8798819788701916,0.8904105463845746,0.76340854
dipper_low,0.884831609560872,1.0227955817146326,0.88271374
dipper_bare,0.8286682779673159,0.9656105177561657,0.7139549
dipper_high,0.7160077931443453,0.9519110154797088,0.06052156
pegasus_slight,0.9268995349309137,0.9205996147746528,0.92540014
pegasus_full,0.8001683222306607,0.7752045623224408,0.8174797
