paraphraser,iteration,RTTR,N Words,Avg Sent Len,Punct Rate
chatgpt,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
chatgpt,T1,8.388642868739804,205.4166710107908,17.84420270705845,0.02006258167400666
chatgpt,T2,8.389673741573892,195.89106890598023,17.935403919867564,0.019797917348326928
chatgpt,T3,8.395224327518529,192.34005249343832,18.02158102775355,0.019601704554860853
palm,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
palm,T1,7.627758286771683,190.25259572597923,17.437136370207895,0.01998727778361206
palm,T2,7.508635196291402,176.00984186663717,17.65807848844308,0.01972529076265331
palm,T3,7.426426470027611,168.34109305760708,17.53055173819591,0.01990881021326637
dipper_low,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
dipper_low,T1,7.813400196436291,260.01178720984336,17.88540735211267,0.021817250231055255
dipper_low,T2,7.602670774270249,240.3420875769012,17.842167966051505,0.02217263606254828
dipper_low,T3,7.468202605078506,226.13932688828,18.054613390389115,0.02230329559249226
dipper_bare,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
dipper_bare,T1,7.45214926261806,250.71540092022954,18.290708612915537,0.023294539674367593
dipper_bare,T2,7.182286748100459,222.80349480432199,17.949138094253414,0.023764782049366696
dipper_bare,T3,6.994169879772676,202.03530993124127,17.764310093105713,0.024131362413996583
dipper_high,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
dipper_high,T1,7.639543536736585,223.6219304141033,21.97002501700938,0.027236166640466363
dipper_high,T2,6.82182871682753,151.01514759861448,21.35430142858337,0.027923003403838575
dipper_high,T3,6.0432868901133485,104.30470971410847,20.162523652707716,0.029288638002821856
pegasus_slight,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
pegasus_slight,T1,8.198025826202397,271.7121956263248,17.1040918755553,0.020049745550310805
pegasus_slight,T2,7.9959596841484055,260.1071188543659,16.351882364199525,0.019964072646352696
pegasus_slight,T3,7.823266536389359,250.02853745541023,15.718933001586898,0.019978591544840597
pegasus_full,T0,8.440252952519245,286.2786681832282,18.03929630833235,0.020317296739247332
pegasus_full,T1,7.317800105526269,227.72604085854667,14.450352180467425,0.01911947695538849
pegasus_full,T2,6.935180194107109,205.16792550439732,12.953764266451289,0.020473881444698507
pegasus_full,T3,6.7536230442197045,195.16219152568678,12.299302169541328,0.021132850206738187
