,importance
avg_word_len,0.14827940419184757
punct_rate,0.14713444655319907
avg_sent_len,0.1448553228345218
hapax_rate,0.11477759756173773
noun_rate,0.11459616249604475
verb_rate,0.11256113221318412
ttr,0.11191954951373793
dep_depth,0.10587638463572709
